"age_group","agi_class","outcome","estimate","p.raw","p.smooth"
2,7,"net_outflow_agi",412615.096050334,0,1.65718870264932e-17
3,1,"pct_outflow_n1",-0.00351100036191642,0.666666666666667,0.634582153185724
3,1,"net_outflow_n1",-4.76005610882512,0.488888888888889,0.497228769023311
3,1,"net_outflow_agi",-16.3614824237954,0.555555555555556,0.517570676937999
3,2,"pct_outflow_n1",-0.00259682243983148,0.711111111111111,0.710674367706161
3,2,"net_outflow_n1",-15.2054098397265,0.466666666666667,0.49869565894124
3,2,"net_outflow_agi",-222.615256213142,0.422222222222222,0.470940845907364
3,3,"pct_outflow_n1",-0.0013976061328607,0.777777777777778,0.701225710077167
3,3,"net_outflow_n1",-119.48615622997,0.844444444444444,0.800586968368195
3,3,"net_outflow_agi",-5013.08397104064,0.844444444444444,0.837372340841784
3,4,"pct_outflow_n1",-0.00359731971891525,0.733333333333333,0.699999038089289
3,4,"net_outflow_n1",28.9236873011275,0.4,0.422986583127169
3,4,"net_outflow_agi",874.250734168148,0.466666666666667,0.447565379084044
3,5,"pct_outflow_n1",-0.00086871107810231,0.6,0.574279053332336
3,5,"net_outflow_n1",147.832033896658,0.0888888888888889,0.0816227724929688
3,5,"net_outflow_agi",12110.5630979121,0.0888888888888889,0.0854560561900383
3,6,"pct_outflow_n1",-0.00199426940736325,0.555555555555556,0.567756453501101
3,6,"net_outflow_n1",361.8537951111,0.0444444444444444,0.062338420563434
3,6,"net_outflow_agi",53567.6356890447,0.0444444444444444,0.0529072019888084
3,7,"pct_outflow_n1",0.00796819438185214,0.244444444444444,0.283556135413604
3,7,"net_outflow_n1",545.70080901932,0,0.000791331118909144
3,7,"net_outflow_agi",67019.9651889548,0.311111111111111,0.326460999361409
4,1,"pct_outflow_n1",0.0137551911783582,0.0666666666666667,0.0988024961575219
4,1,"net_outflow_n1",114.894559963993,0.0888888888888889,0.0847989929788056
4,1,"net_outflow_agi",306.06762634128,0.133333333333333,0.16363396952023
4,2,"pct_outflow_n1",-0.00337703164289489,0.888888888888889,0.874372903680629
4,2,"net_outflow_n1",26.8648134060128,0.444444444444444,0.426178335013992
4,2,"net_outflow_agi",1035.53361562004,0.311111111111111,0.313377703948941
4,3,"pct_outflow_n1",0.00162797324679346,0.288888888888889,0.309902827653188
4,3,"net_outflow_n1",155.452238415167,0.244444444444444,0.240785982957117
4,3,"net_outflow_agi",5680.70350972238,0.222222222222222,0.233298693646261
4,4,"pct_outflow_n1",0.000311205064202123,0.6,0.588758171358343
4,4,"net_outflow_n1",-56.0744303401133,0.844444444444444,0.803022949131349
4,4,"net_outflow_agi",-3226.79850239787,0.822222222222222,0.800113365666127
