"state","year","agi_group","age_group","net_n1","outflow_rate","net_y2_agi"
"Pool 1",2016,1,3,-24.8409090909091,0.0552365986355022,-128.159090909091
"Pool 1",2016,1,4,-15.2954545454545,0.0400284794108414,-77.4545454545455
"Pool 1",2016,1,5,-24.7727272727273,0.0287825405219671,-135.181818181818
"Pool 1",2016,1,6,-46.4772727272727,0.0195441424581875,-260
"Pool 1",2016,2,0,-680.863636363636,0.0448743744679411,-12103.6818181818
"Pool 1",2016,2,1,-215.386363636364,0.0696640058944918,-3822.04545454545
"Pool 1",2016,2,2,-201.227272727273,0.0643749852420755,-3624.59090909091
"Pool 1",2016,2,3,-81.5227272727273,0.0411018525203971,-1475.22727272727
"Pool 1",2016,2,4,-54.8181818181818,0.0310309611443389,-975.090909090909
"Pool 1",2016,2,5,-55.8863636363636,0.0232083110047331,-965.272727272727
"Pool 1",2016,2,6,-72.0227272727273,0.0166390650225704,-1241.15909090909
"Pool 1",2016,3,0,-872.863636363636,0.0356955036477,-31865.6363636364
"Pool 1",2016,3,1,-178.477272727273,0.0644992240159576,-6256.70454545455
"Pool 1",2016,3,2,-299.340909090909,0.0576811408420651,-10993.4545454545
"Pool 1",2016,3,3,-115.045454545455,0.0304030630565317,-4173.02272727273
"Pool 1",2016,3,4,-89.4772727272727,0.019644294043834,-3375.47727272727
"Pool 1",2016,3,5,-99.25,0.015567011676708,-3736.38636363636
"Pool 1",2016,3,6,-91.2727272727273,0.0154942332363038,-3330.79545454545
"Pool 1",2016,4,0,-627.295454545455,0.0311974885888414,-38842.3863636364
"Pool 1",2016,4,1,-85.1363636363636,0.0779281433533772,-5232.81818181818
"Pool 1",2016,4,2,-206.363636363636,0.061461136324937,-12650.9545454545
"Pool 1",2016,4,3,-97.2272727272727,0.0327146146126673,-6030.79545454545
"Pool 1",2016,4,4,-71.2954545454545,0.0190007691246499,-4474.59090909091
"Pool 1",2016,4,5,-84.9318181818182,0.0140276963091174,-5313
"Pool 1",2016,4,6,-82.3409090909091,0.015348480597149,-5140.18181818182
"Pool 1",2016,5,0,-461.022727272727,0.0277192575054001,-40043.9545454545
"Pool 1",2016,5,1,-40.2272727272727,0.0985342083590006,-3451.56818181818
"Pool 1",2016,5,2,-130.181818181818,0.0595382812095033,-11250.5227272727
"Pool 1",2016,5,3,-74.5454545454545,0.0325066769391674,-6507.40909090909
"Pool 1",2016,5,4,-59.0227272727273,0.0183314845496922,-5140.79545454545
"Pool 1",2016,5,5,-77.0454545454545,0.0139640129081595,-6712.68181818182
"Pool 1",2016,5,6,-80,0.0154534320296249,-6981.31818181818
"Pool 1",2016,6,0,-793.022727272727,0.0265662269138333,-110030.340909091
"Pool 1",2016,6,1,-40.9318181818182,0.112136296262572,-5459.56818181818
"Pool 1",2016,6,2,-167.818181818182,0.0626653254843043,-22763.1363636364
"Pool 1",2016,6,3,-151.431818181818,0.0323732692148122,-21300.1590909091
"Pool 1",2016,6,4,-114.409090909091,0.0192030733615663,-16181.7954545455
"Pool 1",2016,6,5,-146.227272727273,0.0169646384110918,-20393.5
"Pool 1",2016,6,6,-172.204545454545,0.0179940477183116,-23932.2727272727
"Pool 1",2016,7,0,-444.818181818182,0.030799776521018,-331978.772727273
"Pool 1",2016,7,1,-13.4545454545455,0.0952541415607894,-5989.56818181818
"Pool 1",2016,7,2,-47.5909090909091,0.0741333240726739,-14639.5454545455
"Pool 1",2016,7,3,-98.1590909090909,0.0424694007074286,-37608.4318181818
"Pool 1",2016,7,4,-81.1590909090909,0.0263571773416256,-56810.9318181818
"Pool 1",2016,7,5,-108.068181818182,0.0249931698851315,-134466.113636364
"Pool 1",2016,7,6,-96.3863636363636,0.0231725805677938,-82464.0909090909
"Pool 1",2017,0,0,-4060.86363636364,0.0462514559615331,-501506.545454545
"Pool 1",2017,0,1,-579.090909090909,0.089641815399561,-20593
"Pool 1",2017,0,2,-1092.93181818182,0.0801818441150206,-75667.5909090909
"Pool 1",2017,0,3,-610.045454545455,0.0463503047478432,-81321.6136363636
"Pool 1",2017,0,4,-502.409090909091,0.029487550512892,-82662.25
