"state","year","agi_class","age_group","total_n1","total_n2","nonmig_y1_agi","outflow_n1","outflow_n2","samest_y1_agi","net_outflow_n1","pct_outflow_n1","net_outflow_n2","pct_outflow_n2","outflow_agi","net_outflow_agi","total_agi","pct_outflow_agi"
"AK",2016,4,"2",11805,26150,574861,954,2334,22962,118,0.197712833545108,301,0.0892543021032505,58147,7104,640475,0.0907873062961084
"AK",2016,4,"3",9359,25055,511491,615,1830,13240,89,0.195533710866546,211,0.0730393135102774,37659,5635,554648,0.0678971167298899
"AK",2016,4,"4",8176,16928,479505,294,611,9920,68,0.0747309197651663,147,0.03609404536862,18230,4072,502953,0.0362459315283933
"AK",2016,4,"5",8416,14112,526023,271,428,7371,109,0.0508555133079848,147,0.030328798185941,16765,6778,544284,0.0308019342843075
"AK",2016,4,"6",6676,10241,425537,213,299,4195,114,0.0447872977831037,166,0.0291963675422322,13327,7253,436140,0.0305567019764296
"AK",2016,5,"0",34628,81068,2721660,1535,3947,57678,471,0.113982904008317,1080,0.048687521586816,132538,40966,2859662,0.0463474354661495
"AK",2016,5,"1",1201,2247,71261,50,102,2666,4,0.0849292256452956,13,0.0453938584779706,4308,407,76228,0.0565146665267356
"AK",2016,5,"2",6562,16719,448935,435,1141,17454,117,0.173879914660165,275,0.0682457084753873,37403,10091,488208,0.0766128371513781
"AK",2016,5,"3",7194,22105,542692,458,1525,14500,112,0.211982207395051,328,0.0689889165347207,39546,9593,584023,0.0677130866421357
"AK",2016,5,"4",6759,16518,551081,231,554,9298,47,0.0819647876904868,113,0.0335391693909674,20053,4322,575916,0.0348193139277256
"AK",2016,5,"5",7109,13339,604792,198,354,9192,104,0.0497960331973555,195,0.0265387210435565,17201,9036,621591,0.0276725370862834
"AK",2016,5,"6",5803,10140,502896,163,271,4566,87,0.046699982767534,156,0.0267258382642998,14025,7517,513695,0.0273021929354967
"AK",2016,6,"0",55560,146980,6807383,2124,5429,112388,788,0.0977141828653708,1856,0.0369369982310518,289708,112284,7069285,0.0409812307751067
"AK",2016,6,"1",612,1245,51694,44,78,3326,3,0.127450980392157,5,0.0626506024096386,7155,375,59315,0.120627160077552
"AK",2016,6,"2",7269,20586,753571,394,1072,22756,64,0.147475581235383,264,0.0520742252015933,51165,8477,807044,0.0633980303428314
"AK",2016,6,"3",11566,40327,1357409,511,1744,26705,120,0.150786788863911,405,0.0432464601879634,68184,17996,1426450,0.0477997826772758
"AK",2016,6,"4",13579,38618,1713234,436,1127,28723,152,0.0829958023418514,330,0.0291832824071676,60773,22640,1775457,0.0342294969689494
"AK",2016,6,"5",13699,29501,1785693,477,940,21615,287,0.0686181473100226,560,0.0318633266668926,66135,40008,1831075,0.0361181273295742
"AK",2016,6,"6",8835,16703,1145780,262,468,9260,162,0.0529711375212224,292,0.0280189187571095,36293,22787,1169943,0.0310211694073985
"AK",2016,7,"0",15540,41713,5301731,599,1594,39384,219,0.102574002574003,517,0.0382135065806823,210936,73491,5457258,0.0386523781723349
"AK",2016,7,"1",35,94,10237,0,0,0,0,0,0,0,0,0,10237,0
"AK",2016,7,"2",832,2302,186589,44,109,3530,-1,0.131009615384615,2,0.0473501303214596,11459,-2166,201948,0.0567423297086379
"AK",2016,7,"3",2563,9333,756919,115,422,4468,17,0.164650799843933,65,0.0452159005678774,37868,930,790570,0.0478996167322312
"AK",2016,7,"4",4235,13041,1453118,168,478,9371,61,0.112868949232586,151,0.0366536308565294,62548,22656,1495716,0.0418180991578615
"AK",2016,7,"5",5026,11444,1780332,194,434,16322,106,0.0863509749303621,224,0.0379238028661307,70351,36482,1823506,0.0385800759635559
"AK",2016,7,"6",2849,5499,1114534,78,151,5690,36,0.053001053001053,75,0.027459538097836,28708,15588,1135280,0.0252871538298922
"AZ",2016,0,"0",2331684,5115069,145826305,81136,156131,1674120,-23852,0.0669606173049178,-46342,0.0305237329154309,5040429,-1942831,154276454,0.0326714081722412
"AZ",2016,0,"1",333571,700264,7584289,17166,26930,181090,-2009,0.0807324377718687,-2965,0.0384569248169262,616787,88024,8220141,0.0750336277686721
"AZ",2016,0,"2",403377,885996,15349648,23210,45277,358160,-3253,0.112244872662546,-6290,0.051102939516657,1128818,-151651,16870395,0.0669111778354923
"AZ",2016,0,"3",372643,1088798,25116834,13027,35079,303265,-2686,0.094135674090215,-7340,0.0322180973881289,997274,-139820,26487171,0.0376512085794289
"AZ",2016,0,"4",388117,970903,31938424,9372,20334,274166,-3412,0.052391418051773,-7543,0.0209433898134005,897564,-270973,33315211,0.0269415673219059
"AZ",2016,0,"5",370706,711810,31808734,7785,12967,288399,-5774,0.034979201847286,-10412,0.018216939913741,672645,-759304,33607685,0.0200146186802215
"AZ",2016,0,"6",463270,757298,34028373,10576,15544,269038,-6718,0.0335527877911369,-11792,0.0205256055080035,727339,-709107,35775849,0.0203304469448091
"AZ",2016,1,"0",182361,283507,2010717,9625,14074,57387,-2564,0.0771765892926667,-4017,0.0496425132360048,57006,-15011,2249316,0.0253437044861638
"AZ",2016,1,"1",38703,58911,350829,2919,3885,16704,-649,0.100379815518177,-942,0.0659469369048225,18310,-4493,406116,0.0450856405559003
"AZ",2016,1,"2",28953,49142,294643,2456,3974,15005,-448,0.13725693365109,-671,0.0808676895527248,15073,-2558,348179,0.0432909509189239
"AZ",2016,1,"3",16499,33069,193952,1033,1953,6421,-245,0.118370810352143,-530,0.0590583325773383,6121,-1576,220850,0.0277156441023319
"AZ",2016,1,"4",17998,30363,215841,852,1230,6669,-260,0.0683409267696411,-495,0.0405098310443632,4916,-1461,241550,0.0203518940178017
"AZ",2016,1,"5",23953,34546,308794,839,1107,6466,-403,0.0462155053646725,-545,0.032044230880565,4570,-1915,340914,0.013405140299313
"AZ",2016,1,"6",56255,77476,646654,1526,1925,6119,-559,0.0342191805172874,-834,0.0248464040477051,8013,-3007,691706,0.0115844014653625
"AZ",2016,2,"0",527102,1049698,9391619,21735,36576,212179,-5636,0.0693907441064538,-10686,0.0348443076008528,377030,-94711,10182069,0.0370288199775507
"AZ",2016,2,"1",154616,303927,2260119,7612,11179,64601,-1188,0.072301702281782,-1893,0.0367818588016201,132971,-19124,2467913,0.0538799382312099
"AZ",2016,2,"2",102264,216461,1660214,5849,10645,55736,-1523,0.104093327075022,-2819,0.049177449979442,102851,-24924,1862539,0.0552208571203073
"AZ",2016,2,"3",61080,160434,1101373,2466,5834,27978,-833,0.0955140798952194,-2228,0.036363863021554,42543,-13976,1201242,0.0354158446008381
"AZ",2016,2,"4",57878,128249,1118688,1846,3423,19823,-675,0.0591416427658178,-1452,0.0266902665907726,31637,-11743,1197428,0.026420795237793
"AZ",2016,2,"5",55954,98797,1191965,1535,2248,18597,-634,0.0401758587411088,-1047,0.022753727339899,26294,-11226,1270510,0.0206956261658704
"AZ",2016,2,"6",95310,141830,2059258,2427,3247,25442,-783,0.0340677788269856,-1247,0.0228936050200945,40732,-13718,2182434,0.0186635655419591
"AZ",2016,3,"0",650713,1368254,21726383,20439,37658,378628,-5414,0.0578719035888326,-10489,0.0275226675748801,733588,-192228,23078451,0.031786708735348
"AZ",2016,3,"1",108919,252544,2814051,4611,7904,64730,-420,0.0725676879148725,-657,0.0312975164723771,156786,-12373,3016365,0.0519784575142597
"AZ",2016,3,"2",150301,307904,4509000,7101,13335,118117,-1249,0.088721964591054,-2556,0.0433089534400333,257226,-43159,4906344,0.052427224833807
"AZ",2016,3,"3",105603,273285,3591356,2987,7070,62731,-748,0.066948855619632,-2126,0.0258704283074446,110664,-26210,3802537,0.0291026753980303
"AZ",2016,3,"4",100115,222231,3580025,1960,3711,50667,-787,0.0370673725216002,-1636,0.0166988403958044,70914,-29249,3749774,0.0189115397354614
"AZ",2016,3,"5",89286,158003,3414444,1692,2616,43868,-978,0.02929910624286,-1542,0.0165566476585888,61971,-35569,3592353,0.0172508102627999
"AZ",2016,3,"6",96489,154287,3817506,2088,3022,38513,-1232,0.0313196322896911,-1972,0.0195868738130886,76024,-45668,4011075,0.0189535224347588
"AZ",2016,4,"0",347997,778604,19864250,11042,22664,288104,-2497,0.065126998221249,-4695,0.0291085070202568,678168,-154919,20973310,0.0323348102898398
"AZ",2016,4,"1",19283,50278,846322,1139,1986,20610,96,0.102992272986568,108,0.0395003778988822,68710,5788,912780,0.075275531891584
"AZ",2016,4,"2",61787,146181,3048935,3817,7893,73207,-34,0.127745318594526,-165,0.0539947051942455,233442,-1977,3325056,0.0702069378681141
"AZ",2016,4,"3",64873,187350,3635160,2118,5904,62138,-351,0.091008586006505,-788,0.0315132105684548,131274,-20146,3845460,0.034137398386669
"AZ",2016,4,"4",65980,157764,3884297,1255,2718,46177,-476,0.0411943013034253,-890,0.0172282650034228,77290,-30178,4045590,0.0191047535711726
"AZ",2016,4,"5",63589,118902,3929229,1112,1855,42992,-814,0.0291717120885688,-1343,0.0156010832450253,68718,-50374,4104812,0.0167408397753661
